Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.15,0.040,27.96,3,0.5,CNN,0,32,10,401.6,17
0.97,0.450,92.89,3,0.5,CNN,0,32,10,401.6,17
-0.04,0.080,21.64,3,0.5,CNN,2,32,10,401.6,17
0.18,0.020,19.22,3,0.5,CNN,2,32,10,401.6,17
-0.07,0.010,7.09,3,0.5,CNN,2,32,10,401.6,17
0.04,0.010,7.67,3,0.5,CNN,2,32,10,401.6,17
-0.09,0.040,13.29,3,0.5,CNN,2,32,10,401.6,17
0.07,0.050,14.35,3,0.5,CNN,2,32,10,401.6,17
0.20,0.040,22.26,3,0.5,CNN,2,32,10,401.6,17
0.98,0.510,92.69,3,0.5,CNN,2,32,10,401.6,17
0.83,0.288,78.22,3,0.5,CNN,0,64,100,158.49837,17
0.89,0.092,67.97,3,0.5,CNN,0,64,100,158.49837,17
0.75,0.090,51.28,3,0.5,CNN,0,64,100,158.49837,17
0.67,0.060,34.65,3,0.5,CNN,0,64,100,158.49837,17
0.68,0.189,52.01,3,0.5,CNN,0,64,100,158.49837,17
0.79,0.200,69.2,3,0.5,CNN,0,64,100,158.49837,17
0.96,0.285,88.24,3,0.5,CNN,0,64,100,158.49837,17
0.94,0.414,93.79,3,0.5,CNN,0,64,100,158.49837,17
0.91,0.449,89.47,3,0.5,CNN,2,64,100,158.49837,17
0.86,0.116,64.86,3,0.5,CNN,2,64,100,158.49837,17
0.85,0.159,63.85,3,0.5,CNN,2,64,100,158.49837,17
0.63,0.085,39.16,3,0.5,CNN,2,64,100,158.49837,17
0.79,0.353,66.57,3,0.5,CNN,2,64,100,158.49837,17
0.86,0.314,76.52,3,0.5,CNN,2,64,100,158.49837,17
0.98,0.439,92.93,3,0.5,CNN,2,64,100,158.49837,17
0.95,0.548,96.41,3,0.5,CNN,2,64,100,158.49837,17
0.91,0.396,84.46,3,0.5,CNN,0,128,100,158.49837,17
0.93,0.122,72.13,3,0.5,CNN,0,128,100,158.49837,17
0.80,0.117,57.35,3,0.5,CNN,0,128,100,158.49837,17
0.69,0.068,31.94,3,0.5,CNN,0,128,100,158.49837,17
0.71,0.223,46.51,3,0.5,CNN,0,128,100,158.49837,17
0.87,0.259,76.51,3,0.5,CNN,0,128,100,158.49837,17
0.98,0.387,89.48,3,0.5,CNN,0,128,100,158.49837,17
0.95,0.489,93.49,3,0.5,CNN,0,128,100,158.49837,17
0.93,0.527,91.67,3,0.5,CNN,2,128,100,158.49837,17
0.95,0.163,76.1,3,0.5,CNN,2,128,100,158.49837,17
0.91,0.210,72.2,3,0.5,CNN,2,128,100,158.49837,17
0.77,0.129,55.13,3,0.5,CNN,2,128,100,158.49837,17
0.86,0.440,72.8,3,0.5,CNN,2,128,100,158.49837,17
0.93,0.385,87.25,3,0.5,CNN,2,128,100,158.49837,17
0.99,0.536,96.65,3,0.5,CNN,2,128,100,158.49837,17
0.95,0.609,96.57,3,0.5,CNN,2,128,100,158.49837,17
